date,num_adbit,num_httpsrr,adbit_perc
2023-05-08,18391,205708,8.940342621580104
2023-05-09,18387,205907,8.929759551642245
2023-05-10,18393,205684,8.942358180509908
2023-05-11,18407,205690,8.94890369001896
2023-05-12,18426,205775,8.954440529704774
2023-05-13,18410,205764,8.947143329250986
2023-05-14,18398,205710,8.94365854844198
2023-05-15,18390,205829,8.934601052329846
2023-05-16,18375,206329,8.905679763872262
2023-05-17,18388,206334,8.911764420793471
2023-05-18,18439,206485,8.929946485216844
2023-05-19,18450,206589,8.930775597926317
2023-05-20,18449,206793,8.921481868341772
2023-05-21,18456,206772,8.925773315535952
2023-05-22,18452,206881,8.91913708847115
2023-05-23,18472,206943,8.926129417279155
2023-05-24,18443,206730,8.921298311807671
2023-05-25,18445,206789,8.919720101165924
2023-05-26,18449,206882,8.917643874285824
2023-05-27,18455,206955,8.917397501872388
2023-05-28,18466,206963,8.922367766219082
2023-05-29,18475,207048,8.923051659518565
2023-05-30,18460,207267,8.906386448397477
2023-05-31,18463,207267,8.90783385681271
2023-06-01,18479,207322,8.913188180704411
2023-06-02,18487,207343,8.91614378107773
2023-06-03,18491,207263,8.92151517637012
2023-06-04,18497,207000,8.935748792270532
2023-06-05,18485,207012,8.929434042470968
2023-06-06,18474,207041,8.922870349351095
2023-06-07,18479,206947,8.929339396077257
2023-06-08,18516,206993,8.945230031933447
2023-06-09,18529,207115,8.946237597470004
2023-06-10,18585,207490,8.957058171478144
2023-06-11,18590,207578,8.955669675977223
2023-06-12,18595,207685,8.953463177408095
2023-06-13,18540,207437,8.93765335981527
2023-06-14,18549,207228,8.951010481209103
2023-06-15,18560,207316,8.952516930675877
2023-06-16,18549,207383,8.94432041199134
2023-06-17,18527,207087,8.946481430509882
2023-06-18,18538,207029,8.954301088253336
2023-06-19,18526,206958,8.951574715642787
2023-06-20,18501,206948,8.939926938168043
2023-06-21,18513,206857,8.949660876837623
2023-06-22,18522,207011,8.94735062387989
2023-06-23,18499,207115,8.931752890906019
2023-06-24,18538,207562,8.931307272044016
2023-06-25,18521,207530,8.924492844408038
2023-06-26,18515,207480,8.923751686909581
2023-06-27,18458,207681,8.887669069390075
2023-06-28,18459,207766,8.884514309367269
2023-06-29,18442,207679,8.880050462492596
2023-06-30,18422,207691,8.869907699418848
2023-07-01,18410,207676,8.864770122691114
2023-07-02,18407,207711,8.861832064743803
2023-07-03,18390,207754,8.85181512750657
2023-07-04,18378,207777,8.845059847817613
2023-07-05,18387,207819,8.847602962193061
2023-07-06,18396,207569,8.862595088862017
2023-07-07,18389,207694,8.853890820148873
2023-07-08,18373,207750,8.843802647412756
2023-07-09,18373,207865,8.83890986938638
2023-07-10,18339,208003,8.81669975913809
2023-07-11,18315,208107,8.800761146910004
2023-07-12,18299,208217,8.788427457892487
2023-07-13,18297,208245,8.786285385003241
2023-07-14,18285,208147,8.784656997218312
2023-07-15,18265,208195,8.773025288791757
2023-07-16,18258,208091,8.77404597027262
2023-07-17,18267,208135,8.77651524251087
2023-07-18,18257,208296,8.764930675577064
2023-07-19,18239,208306,8.755868769982621
2023-07-20,18235,208358,8.751763791167125
2023-07-21,18246,208475,8.752128552584242
2023-07-22,18228,208412,8.746137458495673
2023-07-23,18205,208225,8.742946332092687
2023-07-24,18181,208302,8.728192720185115
2023-07-25,18173,208361,8.721881734105711
2023-07-26,18174,208490,8.716964842438486
2023-07-27,18150,208444,8.707374642589857
2023-07-28,18132,208771,8.685114311853658
2023-07-29,18125,208862,8.677978761095844
2023-07-30,18130,209005,8.674433625989808
2023-07-31,18121,209105,8.665981205614404
2023-08-01,18101,208923,8.663957534594084
2023-08-02,19259,239752,8.032883980112784
2023-08-03,19268,239724,8.037576546361649
2023-08-04,19247,240318,8.008971446167163
2023-08-05,19202,242642,7.913716504150147
2023-08-06,19189,242528,7.912076131415754
2023-08-07,19177,242392,7.911564738110169
2023-08-08,19184,241957,7.928681542588146
2023-08-09,19211,242176,7.932660544397463
2023-08-10,19230,241953,7.947824577500589
2023-08-11,19224,242499,7.927455370949983
2023-08-12,19223,242622,7.9230242929330394
2023-08-13,19217,242780,7.9153966554081885
2023-08-14,19273,241183,7.991027559985571
2023-08-15,19320,240763,8.024488812649784
2023-08-16,19347,240500,8.044490644490644
2023-08-17,19368,240465,8.054394610442268
2023-08-18,19372,240573,8.052441462674532
2023-08-19,19377,240063,8.071631196810838
2023-08-20,19366,239789,8.076267051449399
2023-08-21,19374,239963,8.073744702308273
2023-08-22,19361,240044,8.06560463914949
2023-08-23,19360,240061,8.064616909868741
2023-08-24,19373,240109,8.068418926404258
2023-08-25,19391,240292,8.069765119105089
