date,num_httpsrr
2023-05-08,199770
2023-05-09,200007
2023-05-10,199760
2023-05-11,199731
2023-05-12,199899
2023-05-13,200042
2023-05-14,200015
2023-05-15,200199
2023-05-16,200918
2023-05-17,200875
2023-05-18,200928
2023-05-19,201073
2023-05-20,201347
2023-05-21,201305
2023-05-22,201476
2023-05-23,201501
2023-05-24,201223
2023-05-25,201171
2023-05-26,201369
2023-05-27,201491
2023-05-28,201504
2023-05-29,201666
2023-05-30,201907
2023-05-31,201938
2023-06-01,202023
2023-06-02,202046
2023-06-03,201997
2023-06-04,201830
2023-06-05,201971
2023-06-06,202119
2023-06-07,201995
2023-06-08,201981
2023-06-09,202082
2023-06-10,202077
2023-06-11,202213
2023-06-12,202363
2023-06-13,202658
2023-06-14,202310
2023-06-15,202280
2023-06-16,202407
2023-06-17,202300
2023-06-18,202294
2023-06-19,202260
2023-06-20,202517
2023-06-21,202411
2023-06-22,202656
2023-06-23,202862
2023-06-24,203208
2023-06-25,203260
2023-06-26,203270
2023-06-27,203106
2023-06-28,203183
2023-06-29,203050
2023-06-30,203042
2023-07-01,203033
2023-07-02,203105
2023-07-03,203203
2023-07-04,203290
2023-07-05,203202
2023-07-06,203095
2023-07-07,203267
2023-07-08,203359
2023-07-09,203516
2023-07-10,203680
2023-07-11,203879
2023-07-12,204030
2023-07-13,204169
2023-07-14,204163
2023-07-15,204220
2023-07-16,204120
2023-07-17,203948
2023-07-18,204159
2023-07-19,204164
2023-07-20,204157
2023-07-21,204274
2023-07-22,204251
2023-07-23,204197
2023-07-24,204614
2023-07-25,204517
2023-07-26,204488
2023-07-27,204685
2023-07-28,204821
2023-07-29,204929
2023-07-30,205099
2023-07-31,205228
2023-08-01,205058
2023-08-02,238284
2023-08-03,238237
2023-08-04,238763
2023-08-05,241021
2023-08-06,240838
2023-08-07,240787
2023-08-08,240474
2023-08-09,240655
2023-08-10,240494
2023-08-11,241080
2023-08-12,241272
2023-08-13,241486
2023-08-14,240213
2023-08-15,240154
2023-08-16,240078
2023-08-17,240097
2023-08-18,240256
2023-08-19,239979
2023-08-20,239846
2023-08-21,240108
2023-08-22,240221
2023-08-23,240473
2023-08-24,240389
2023-08-25,240557
2023-08-26,240612
2023-08-27,240783
2023-08-28,241466
2023-08-29,241525
2023-08-30,241973
2023-08-31,241985
2023-09-01,243178
2023-09-02,246758
2023-09-03,249108
2023-09-04,251610
2023-09-05,253399
2023-09-06,254017
2023-09-07,254092
2023-09-08,254132
2023-09-09,253234
2023-09-10,253684
2023-09-11,253834
2023-09-12,254161
2023-09-13,254160
2023-09-14,254474
2023-09-15,254797
2023-09-16,254871
2023-09-17,255043
2023-09-18,251757
2023-09-19,252777
2023-09-20,253212
2023-09-21,253479
2023-09-22,253479
2023-09-23,254024
2023-09-24,254351
2023-09-25,254835
2023-09-26,255234
2023-09-27,255179
2023-09-28,255010
2023-09-29,254740
2023-09-30,254700
2023-10-01,254805
2023-10-02,255336
2023-10-03,256002
2023-10-04,256205
2023-10-05,256046
2023-10-06,254425
2023-10-07,258574
2023-10-08,258372
2023-10-09,257840
2023-10-10,257397
2023-10-11,257694
2023-10-12,258038
2023-10-13,258273
2023-10-14,258445
2023-10-15,258807
2023-10-16,255771
2023-10-17,256040
2023-10-18,256490
2023-10-19,256638
2023-10-20,257193
2023-10-21,255367
2023-10-22,254610
2023-10-23,254742
2023-10-24,254774
2023-10-25,254741
2023-10-26,254593
2023-10-27,254680
2023-10-28,255011
2023-10-29,255291
2023-10-30,255623
2023-10-31,256092
2023-11-01,256255
2023-11-02,257081
2023-11-03,256220
2023-11-04,261494
2023-11-05,261539
2023-11-06,261782
2023-11-07,261657
2023-11-08,261839
2023-11-09,261704
2023-11-10,262109
2023-11-11,261867
2023-11-12,262375
2023-11-13,262648
2023-11-14,262717
2023-11-15,263565
2023-11-16,264252
2023-11-17,264646
2023-11-18,265078
2023-11-19,262077
2023-11-20,259574
2023-11-21,260057
2023-11-22,259648
2023-11-23,258684
2023-11-24,258430
2023-11-25,257999
2023-11-26,257664
2023-11-27,258062
2023-11-28,257519
2023-11-29,257724
2023-11-30,257726
2023-12-01,257909
2023-12-02,258215
2023-12-03,258325
2023-12-04,258383
2023-12-05,258037
2023-12-06,258418
2023-12-07,259001
2023-12-08,258015
2023-12-09,260420
2023-12-10,265779
2023-12-11,265868
2023-12-12,265425
2023-12-13,265234
2023-12-14,265516
2023-12-15,266052
2023-12-16,265922
2023-12-17,261263
2023-12-18,259596
2023-12-19,259672
2023-12-20,259835
2023-12-21,259680
2023-12-22,259426
2023-12-23,259573
2023-12-24,259914
2023-12-25,260177
2023-12-26,260472
2023-12-27,260717
2023-12-28,261244
2023-12-29,261573
2023-12-30,262072
2023-12-31,262656
2024-01-01,263207
2024-01-02,263765
2024-01-03,264726
2024-01-04,264726
2024-01-05,265196
2024-01-06,266249
2024-01-07,271260
2024-01-08,271546
2024-01-09,271453
2024-01-10,269359
2024-01-11,269472
2024-01-12,268561
2024-01-13,267593
2024-01-14,263839
2024-01-15,263352
2024-01-16,263787
2024-01-17,264088
2024-01-18,264148
2024-01-19,264578
2024-01-20,264692
2024-01-21,265060
2024-01-22,261267
2024-01-23,261489
2024-01-24,261685
2024-01-25,262171
2024-01-26,262760
2024-01-27,248946
2024-01-28,249517
2024-01-29,250215
2024-01-30,250415
2024-01-31,250273
2024-02-01,250338
2024-02-02,250321
2024-02-03,250028
2024-02-04,253237
2024-02-05,253218
2024-02-06,252714
2024-02-07,251971
2024-02-08,251555
2024-02-09,251488
2024-02-10,251279
2024-02-11,250849
2024-02-12,251420
2024-02-13,250954
2024-02-14,250427
2024-02-15,250321
2024-02-16,250016
2024-02-17,250084
2024-02-18,246822
2024-02-19,247053
2024-02-20,247254
2024-02-21,246897
2024-02-22,247127
2024-02-23,248322
2024-02-24,248506
2024-02-25,249773
2024-02-26,249683
2024-02-27,249391
2024-02-28,251708
2024-02-29,251492
2024-03-01,251086
2024-03-02,252187
2024-03-03,252741
2024-03-04,253554
2024-03-05,252413
2024-03-06,252413
2024-03-07,254724
2024-03-08,255416
2024-03-09,258019
2024-03-10,258701
2024-03-11,258971
2024-03-12,259345
2024-03-13,258962
2024-03-14,258418
2024-03-15,258153
2024-03-16,257595
2024-03-17,257177
2024-03-18,257325
2024-03-19,256987
2024-03-20,256613
2024-03-21,256576
2024-03-22,256911
2024-03-23,257303
2024-03-24,257891
2024-03-25,260044
2024-03-26,260425
2024-03-27,260772
2024-03-28,260608
2024-03-29,261513
2024-03-30,262596
2024-03-31,263047
2024-04-01,265864
2024-04-02,266670
2024-04-03,266755
2024-04-04,268518
2024-04-05,270300
2024-04-06,269827
2024-04-07,274653
2024-04-08,272981
2024-04-09,271921
2024-04-10,272913
2024-04-11,270736
2024-04-12,269459
2024-04-13,265673
2024-04-14,266018
2024-04-15,266289
2024-04-16,266289
2024-04-17,266289
2024-04-18,266289
2024-04-19,266289
2024-04-20,266289
2024-04-21,266289
2024-04-22,265175
2024-04-23,265543
2024-04-24,264937
2024-04-25,264780
2024-04-26,265081
2024-04-27,265386
2024-04-28,265406
2024-04-29,265321
2024-04-30,264954
2024-05-01,264909
2024-05-02,264226
2024-05-03,262300
2024-05-04,264081
2024-05-05,269006
2024-05-06,268068
2024-05-07,267560
2024-05-08,267003
2024-05-09,266271
2024-05-10,265733
2024-05-11,265503
2024-05-12,265492
2024-05-13,265437
2024-05-14,264591
2024-05-15,264473
2024-05-16,264432
2024-05-17,264228
2024-05-18,260167
2024-05-19,257631
2024-05-20,257615
2024-05-21,257455
2024-05-22,256020
2024-05-23,254600
2024-05-24,255574
2024-05-25,255496
2024-05-26,255007
2024-05-27,254776
2024-05-28,254756
2024-05-29,254662
2024-05-30,254691
2024-05-31,254598
2024-06-01,254242
2024-06-02,253909
2024-06-03,253759
2024-06-04,253966
2024-06-05,253989
2024-06-06,253443
2024-06-07,252097
2024-06-08,252246
2024-06-09,255183
2024-06-10,255355
2024-06-11,254598
2024-06-12,254300
2024-06-13,254125
2024-06-14,254060
2024-06-15,253905
2024-06-16,248288
2024-06-17,248526
2024-06-18,247765
2024-06-19,247061
2024-06-20,246210
2024-06-21,245516
2024-06-22,245340
2024-06-23,245138
2024-06-24,244942
2024-06-25,245032
2024-06-26,244987
2024-06-27,245007
2024-06-28,245075
2024-06-29,245091
2024-06-30,245337
2024-07-01,245360
2024-07-02,244784
2024-07-03,244433
2024-07-04,244039
2024-07-05,243467
2024-07-06,246506
2024-07-07,249524
2024-07-08,248910
2024-07-09,248218
2024-07-10,248250
2024-07-11,248509
2024-07-12,248638
2024-07-13,248536
2024-07-14,247540
2024-07-15,241971
2024-07-16,241935
2024-07-17,241741
2024-07-18,241416
2024-07-19,241126
2024-07-20,240392
2024-07-21,240380
2024-07-22,240379
2024-07-23,240695
2024-07-24,240662
2024-07-25,240563
2024-07-26,240147
2024-07-27,239462
2024-07-28,240157
2024-07-29,240687
2024-07-30,240748
2024-07-31,240734
2024-08-01,241728
2024-08-02,240920
2024-08-03,247084
2024-08-04,247220
2024-08-05,247306
2024-08-06,246981
2024-08-07,246762
2024-08-08,246087
2024-08-09,245800
2024-08-10,245787
2024-08-11,245970
2024-08-12,246226
2024-08-13,246208
2024-08-14,246189
2024-08-15,245810
2024-08-16,245594
2024-08-17,245610
2024-08-18,246617
2024-08-19,243504
2024-08-20,240944
2024-08-21,241350
2024-08-22,241346
2024-08-23,241482
2024-08-24,241516
2024-08-25,241134
2024-08-26,241841
2024-08-27,242398
2024-08-28,242773
2024-08-29,242734
2024-08-30,243336
2024-08-31,243784
2024-09-01,243831
2024-09-02,244458
2024-09-03,244419
2024-09-04,241016
2024-09-05,241034
2024-09-06,244235
2024-09-07,247284
2024-09-08,247274
2024-09-09,247307
2024-09-10,246903
2024-09-11,246894
2024-09-12,247163
2024-09-13,247629
2024-09-14,247687
