date,num_httpsrr
2023-05-08,205708
2023-05-09,205907
2023-05-10,205684
2023-05-11,205690
2023-05-12,205775
2023-05-13,205764
2023-05-14,205710
2023-05-15,205829
2023-05-16,206329
2023-05-17,206334
2023-05-18,206485
2023-05-19,206589
2023-05-20,206793
2023-05-21,206772
2023-05-22,206881
2023-05-23,206943
2023-05-24,206730
2023-05-25,206789
2023-05-26,206882
2023-05-27,206955
2023-05-28,206963
2023-05-29,207048
2023-05-30,207267
2023-05-31,207267
2023-06-01,207322
2023-06-02,207343
2023-06-03,207263
2023-06-04,207000
2023-06-05,207012
2023-06-06,207041
2023-06-07,206947
2023-06-08,206993
2023-06-09,207115
2023-06-10,207490
2023-06-11,207578
2023-06-12,207685
2023-06-13,207437
2023-06-14,207228
2023-06-15,207316
2023-06-16,207383
2023-06-17,207087
2023-06-18,207029
2023-06-19,206958
2023-06-20,206948
2023-06-21,206857
2023-06-22,207011
2023-06-23,207115
2023-06-24,207562
2023-06-25,207530
2023-06-26,207480
2023-06-27,207681
2023-06-28,207766
2023-06-29,207679
2023-06-30,207691
2023-07-01,207676
2023-07-02,207711
2023-07-03,207754
2023-07-04,207777
2023-07-05,207819
2023-07-06,207569
2023-07-07,207694
2023-07-08,207750
2023-07-09,207865
2023-07-10,208003
2023-07-11,208107
2023-07-12,208217
2023-07-13,208245
2023-07-14,208147
2023-07-15,208195
2023-07-16,208091
2023-07-17,208135
2023-07-18,208296
2023-07-19,208306
2023-07-20,208358
2023-07-21,208475
2023-07-22,208412
2023-07-23,208225
2023-07-24,208302
2023-07-25,208361
2023-07-26,208490
2023-07-27,208444
2023-07-28,208771
2023-07-29,208862
2023-07-30,209005
2023-07-31,209105
2023-08-01,208923
2023-08-02,239752
2023-08-03,239724
2023-08-04,240318
2023-08-05,242642
2023-08-06,242528
2023-08-07,242392
2023-08-08,241957
2023-08-09,242176
2023-08-10,241953
2023-08-11,242499
2023-08-12,242622
2023-08-13,242780
2023-08-14,241183
2023-08-15,240763
2023-08-16,240500
2023-08-17,240465
2023-08-18,240573
2023-08-19,240063
2023-08-20,239789
2023-08-21,239963
2023-08-22,240044
2023-08-23,240061
2023-08-24,240109
2023-08-25,240292
2023-08-26,240267
2023-08-27,240397
2023-08-28,241074
2023-08-29,241030
2023-08-30,241466
2023-08-31,241236
2023-09-01,242473
2023-09-02,246128
2023-09-03,248571
2023-09-04,251072
2023-09-05,252385
2023-09-06,252922
2023-09-07,252935
2023-09-08,252807
2023-09-09,251988
2023-09-10,252438
2023-09-11,252622
2023-09-12,252836
2023-09-13,252841
2023-09-14,253168
2023-09-15,253442
2023-09-16,253542
2023-09-17,253660
2023-09-18,250268
2023-09-19,251258
2023-09-20,251678
2023-09-21,251989
2023-09-22,251989
2023-09-23,252130
2023-09-24,252416
2023-09-25,252918
2023-09-26,253257
2023-09-27,253354
2023-09-28,253317
2023-09-29,253138
2023-09-30,253140
2023-10-01,253225
2023-10-02,253823
2023-10-03,254568
2023-10-04,254821
2023-10-05,254883
2023-10-06,253429
2023-10-07,257681
2023-10-08,257626
2023-10-09,257119
2023-10-10,256686
2023-10-11,256959
2023-10-12,257322
2023-10-13,257488
2023-10-14,257789
2023-10-15,258116
2023-10-16,255104
2023-10-17,255409
2023-10-18,255874
2023-10-19,256054
2023-10-20,256413
2023-10-21,255053
2023-10-22,254539
2023-10-23,254528
2023-10-24,253565
2023-10-25,253510
2023-10-26,253410
2023-10-27,253518
2023-10-28,253823
2023-10-29,254098
2023-10-30,254552
2023-10-31,255086
2023-11-01,254907
2023-11-02,255793
2023-11-03,254949
2023-11-04,260302
2023-11-05,260312
2023-11-06,260500
2023-11-07,260350
2023-11-08,260670
2023-11-09,260548
2023-11-10,261021
2023-11-11,260811
2023-11-12,261368
2023-11-13,261670
2023-11-14,261707
2023-11-15,262470
2023-11-16,263158
2023-11-17,263446
2023-11-18,263872
2023-11-19,261055
2023-11-20,258497
2023-11-21,259006
2023-11-22,258709
2023-11-23,257745
2023-11-24,257011
2023-11-25,256464
