date,num_ech,num_httpsrr
2023-05-08,140406,205708
2023-05-09,140573,205907
2023-05-10,140361,205684
2023-05-11,140370,205690
2023-05-12,140446,205775
2023-05-13,140559,205764
2023-05-14,140525,205710
2023-05-15,140691,205829
2023-05-16,141190,206329
2023-05-17,141166,206334
2023-05-18,141151,206485
2023-05-19,141167,206589
2023-05-20,141386,206793
2023-05-21,141344,206772
2023-05-22,141453,206881
2023-05-23,141490,206943
2023-05-24,141281,206730
2023-05-25,141276,206789
2023-05-26,141378,206882
2023-05-27,141427,206955
2023-05-28,141373,206963
2023-05-29,141486,207048
2023-05-30,141652,207267
2023-05-31,141597,207267
2023-06-01,141614,207322
2023-06-02,141571,207343
2023-06-03,141466,207263
2023-06-04,141164,207000
2023-06-05,141181,207012
2023-06-06,141207,207041
2023-06-07,141097,206947
2023-06-08,141038,206993
2023-06-09,141121,207115
2023-06-10,141327,207490
2023-06-11,141453,207578
2023-06-12,141572,207685
2023-06-13,141286,207437
2023-06-14,141070,207228
2023-06-15,141129,207316
2023-06-16,141259,207383
2023-06-17,141023,207087
2023-06-18,141006,207029
2023-06-19,140998,206958
2023-06-20,141056,206948
2023-06-21,140813,206857
2023-06-22,140897,207011
2023-06-23,141035,207115
2023-06-24,141312,207562
2023-06-25,141340,207530
2023-06-26,141353,207480
2023-06-27,141789,207681
2023-06-28,141941,207766
2023-06-29,141920,207679
2023-06-30,141976,207691
2023-07-01,141975,207676
2023-07-02,142022,207711
2023-07-03,142112,207754
2023-07-04,142212,207777
2023-07-05,142234,207819
2023-07-06,142137,207569
2023-07-07,142327,207694
2023-07-08,142428,207750
2023-07-09,142549,207865
2023-07-10,142733,208003
2023-07-11,142896,208107
2023-07-12,143091,208217
2023-07-13,143178,208245
2023-07-14,143148,208147
2023-07-15,143240,208195
2023-07-16,143222,208091
2023-07-17,143174,208135
2023-07-18,143433,208296
2023-07-19,143467,208306
2023-07-20,143550,208358
2023-07-21,143696,208475
2023-07-22,143659,208412
2023-07-23,143556,208225
2023-07-24,143689,208302
2023-07-25,143800,208361
2023-07-26,143970,208490
2023-07-27,143906,208444
2023-07-28,144231,208771
2023-07-29,144321,208862
2023-07-30,144465,209005
2023-07-31,144590,209105
2023-08-01,144446,208923
2023-08-02,166511,239752
2023-08-03,166447,239724
2023-08-04,166946,240318
2023-08-05,169210,242642
2023-08-06,169109,242528
2023-08-07,169036,242392
2023-08-08,168619,241957
2023-08-09,168790,242176
2023-08-10,168486,241953
2023-08-11,168933,242499
2023-08-12,169091,242622
2023-08-13,169259,242780
2023-08-14,167681,241183
2023-08-15,167207,240763
2023-08-16,166927,240500
2023-08-17,166858,240465
2023-08-18,166924,240573
2023-08-19,166432,240063
2023-08-20,166172,239789
2023-08-21,166362,239963
2023-08-22,166461,240044
2023-08-23,166468,240061
2023-08-24,166414,240109
2023-08-25,166518,240292
2023-08-26,166507,240267
2023-08-27,166737,240397
2023-08-28,167468,241074
2023-08-29,167430,241030
2023-08-30,167856,241466
2023-08-31,167570,241236
2023-09-01,168770,242473
2023-09-02,172501,246128
2023-09-03,175086,248571
2023-09-04,177772,251072
2023-09-05,179211,252385
2023-09-06,179823,252922
2023-09-07,179829,252935
2023-09-08,179960,252807
2023-09-09,180488,251988
2023-09-10,181012,252438
2023-09-11,181227,252622
2023-09-12,181476,252836
2023-09-13,181450,252841
2023-09-14,181762,253168
2023-09-15,181990,253442
2023-09-16,182085,253542
2023-09-17,182221,253660
2023-09-18,178935,250268
2023-09-19,179887,251258
2023-09-20,180307,251678
2023-09-21,180551,251989
2023-09-22,180551,251989
2023-09-23,180610,252130
2023-09-24,180914,252416
2023-09-25,181445,252918
2023-09-26,181824,253257
2023-09-27,181964,253354
2023-09-28,181903,253317
2023-09-29,181671,253138
2023-09-30,181655,253140
2023-10-01,181817,253225
2023-10-02,182453,253823
2023-10-03,183298,254568
2023-10-04,183475,254821
2023-10-05,183489,254883
2023-10-06,0,253429
2023-10-07,0,257681
2023-10-08,0,257626
2023-10-09,0,257119
2023-10-10,0,256686
2023-10-11,0,256959
2023-10-12,0,257322
2023-10-13,0,257488
2023-10-14,0,257789
2023-10-15,0,258116
2023-10-16,1,255104
2023-10-17,1,255409
2023-10-18,1,255874
2023-10-19,1,256054
2023-10-20,1,256413
2023-10-21,1,255053
2023-10-22,1,254539
2023-10-23,1,254528
2023-10-24,1,253565
2023-10-25,1,253510
2023-10-26,1,253410
2023-10-27,1,253518
2023-10-28,1,253823
2023-10-29,1,254098
2023-10-30,1,254552
2023-10-31,1,255086
2023-11-01,1,254907
2023-11-02,1,255793
2023-11-03,1,254949
2023-11-04,0,260302
2023-11-05,0,260312
2023-11-06,0,260500
2023-11-07,0,260350
2023-11-08,1,260670
2023-11-09,1,260548
2023-11-10,0,261021
2023-11-11,0,260811
2023-11-12,0,261368
2023-11-13,0,261670
2023-11-14,0,261707
2023-11-15,0,262470
2023-11-16,0,263158
2023-11-17,0,263446
2023-11-18,0,263872
2023-11-19,0,261055
2023-11-20,0,258497
2023-11-21,0,259006
2023-11-22,0,258709
2023-11-23,0,257745
2023-11-24,1,257011
2023-11-25,1,256464
2023-11-26,1,256027
2023-11-27,1,256439
2023-11-28,1,255831
2023-11-29,1,256047
2023-11-30,1,256342
2023-12-01,1,256567
2023-12-02,1,256877
2023-12-03,1,257042
2023-12-04,1,257200
2023-12-05,1,257650
2023-12-06,1,258083
2023-12-07,1,258527
2023-12-08,1,257579
2023-12-09,1,259907
2023-12-10,1,265439
2023-12-11,1,265510
2023-12-12,1,265167
2023-12-13,0,265048
2023-12-14,0,265338
2023-12-15,0,266034
2023-12-16,0,265815
2023-12-17,0,261254
2023-12-18,0,259556
2023-12-19,1,259755
2023-12-20,1,259890
2023-12-21,1,259647
2023-12-22,1,258731
2023-12-23,1,258990
2023-12-24,1,259304
2023-12-25,1,259515
2023-12-26,1,259740
2023-12-27,1,260049
2023-12-28,1,260510
2023-12-29,1,260899
2023-12-30,1,261392
2023-12-31,1,261835
2024-01-01,1,262156
2024-01-02,1,262855
2024-01-03,1,264304
2024-01-04,1,264304
2024-01-05,1,264723
2024-01-06,1,265718
2024-01-07,1,270677
2024-01-08,1,270992
2024-01-09,1,270859
2024-01-10,1,269623
2024-01-11,1,269688
2024-01-12,1,269198
2024-01-13,1,268291
2024-01-14,1,264505
2024-01-15,1,264296
2024-01-16,1,264683
2024-01-17,1,265258
2024-01-18,1,265245
2024-01-19,1,265008
2024-01-20,1,265193
2024-01-21,1,265643
2024-01-22,1,261086
2024-01-23,1,261755
2024-01-24,1,262287
2024-01-25,1,262895
2024-01-26,1,263430
2024-01-27,1,249688
2024-01-28,1,250241
2024-01-29,1,250749
2024-01-30,1,251052
2024-01-31,1,251456
2024-02-01,1,251454
2024-02-02,1,251350
2024-02-03,1,250979
2024-02-04,1,254306
2024-02-05,1,254161
2024-02-06,1,253640
2024-02-07,1,253233
2024-02-08,1,253144
2024-02-09,1,253234
2024-02-10,1,253127
2024-02-11,1,252742
2024-02-12,1,253276
2024-02-13,0,252881
2024-02-14,0,253027
2024-02-15,0,253194
2024-02-16,0,252946
2024-02-17,0,252957
2024-02-18,0,248882
2024-02-19,0,249259
2024-02-20,0,249283
2024-02-21,0,249521
2024-02-22,0,249506
2024-02-23,0,250051
2024-02-24,0,250302
2024-02-25,0,251651
2024-02-26,0,251423
2024-02-27,0,252664
2024-02-28,0,254219
2024-02-29,0,254626
2024-03-01,0,254433
2024-03-02,0,255582
2024-03-03,0,256657
2024-03-04,0,257979
2024-03-05,0,257140
2024-03-06,0,257140
2024-03-07,0,259412
2024-03-08,0,260375
