date,num_adbit
2023-08-02,6314
2023-08-03,6324
2023-08-04,6328
2023-08-05,6331
2023-08-06,6333
2023-08-07,6336
2023-08-08,6343
2023-08-09,6345
2023-08-10,6348
2023-08-11,6354
2023-08-12,6355
2023-08-13,6359
2023-08-14,6362
2023-08-15,6366
2023-08-16,6369
2023-08-17,6372
2023-08-18,6377
2023-08-19,6379
2023-08-20,6378
2023-08-21,6381
2023-08-22,6387
2023-08-23,6394
2023-08-24,6396
2023-08-25,6400
2023-08-26,6405
2023-08-27,6406
2023-08-28,6406
2023-08-29,6407
2023-08-30,6412
2023-08-31,6414
2023-09-01,6410
2023-09-02,6417
2023-09-03,6416
2023-09-04,6418
2023-09-05,6424
2023-09-06,6432
2023-09-07,6439
2023-09-08,6441
2023-09-09,6427
2023-09-10,6428
2023-09-11,6434
2023-09-12,6435
2023-09-13,6442
2023-09-14,6450
2023-09-15,6453
2023-09-16,6462
2023-09-17,6465
2023-09-18,6466
2023-09-19,6474
2023-09-20,6477
2023-09-21,6478
2023-09-22,6478
2023-09-23,6483
2023-09-24,6482
2023-09-25,6483
2023-09-26,6489
2023-09-27,6492
2023-09-28,6487
2023-09-29,6496
2023-09-30,6502
2023-10-01,6502
2023-10-02,6504
2023-10-03,6509
2023-10-04,6509
2023-10-05,6485
2023-10-06,6495
2023-10-07,6494
2023-10-08,6495
2023-10-09,6496
2023-10-10,6532
2023-10-11,6537
2023-10-12,6549
2023-10-13,6548
2023-10-14,6551
2023-10-15,6552
2023-10-16,6552
2023-10-17,6558
2023-10-18,6558
2023-10-19,6563
2023-10-20,6566
2023-10-21,6569
2023-10-22,6567
2023-10-23,6567
2023-10-24,6573
2023-10-25,6573
2023-10-26,6577
2023-10-27,6582
2023-10-28,6588
2023-10-29,6588
2023-10-30,6590
2023-10-31,6595
2023-11-01,6600
2023-11-02,6604
2023-11-03,6598
2023-11-04,6597
2023-11-05,6602
2023-11-06,6596
2023-11-07,6598
2023-11-08,6607
2023-11-09,6602
2023-11-10,6609
2023-11-11,6603
2023-11-12,6598
2023-11-13,6608
2023-11-14,6618
2023-11-15,6617
2023-11-16,6620
2023-11-17,6622
2023-11-18,6626
2023-11-19,6627
2023-11-20,6633
2023-11-21,6637
2023-11-22,6641
2023-11-23,6649
2023-11-24,6650
2023-11-25,6650
2023-11-26,6654
2023-11-27,6649
2023-11-28,6657
2023-11-29,6666
2023-11-30,6664
2023-12-01,6662
2023-12-02,6664
2023-12-03,6663
2023-12-04,6665
2023-12-05,6665
2023-12-06,6669
2023-12-07,6677
2023-12-08,6679
2023-12-09,6683
2023-12-10,6684
2023-12-11,6689
2023-12-12,6684
2023-12-13,6691
2023-12-14,6702
2023-12-15,6704
2023-12-16,6711
2023-12-17,6712
2023-12-18,6716
2023-12-19,6715
2023-12-20,6732
2023-12-21,6738
2023-12-22,6736
2023-12-23,6744
2023-12-24,6749
2023-12-25,6749
2023-12-26,6751
2023-12-27,6754
2023-12-28,6760
2023-12-29,6762
2023-12-30,6763
2023-12-31,6761
2024-01-01,6760
2024-01-02,6765
2024-01-03,6767
2024-01-04,6767
2024-01-05,6778
2024-01-06,6780
2024-01-07,6777
2024-01-08,6782
2024-01-09,6789
2024-01-10,6794
2024-01-11,6798
2024-01-12,6809
2024-01-13,6806
2024-01-14,6809
2024-01-15,6808
2024-01-16,6812
2024-01-17,6811
2024-01-18,6822
2024-01-19,6823
2024-01-20,6821
2024-01-21,6824
2024-01-22,6827
2024-01-23,6828
2024-01-24,6830
2024-01-25,6830
2024-01-26,6838
2024-01-27,6837
2024-01-28,6844
2024-01-29,6842
2024-01-30,6845
2024-01-31,6848
2024-02-01,6850
2024-02-02,6856
2024-02-03,6862
2024-02-04,6863
2024-02-05,6864
2024-02-06,6874
2024-02-07,6878
2024-02-08,6881
2024-02-09,6889
2024-02-10,6891
2024-02-11,6894
2024-02-12,6895
2024-02-13,6899
2024-02-14,6907
2024-02-15,6914
2024-02-16,6908
2024-02-17,6913
2024-02-18,6920
2024-02-19,6920
2024-02-20,6924
2024-02-21,6930
2024-02-22,6933
2024-02-23,6939
2024-02-24,6929
2024-02-25,6932
2024-02-26,6934
2024-02-27,6937
2024-02-28,6941
2024-02-29,6944
2024-03-01,6946
2024-03-02,6942
2024-03-03,6946
2024-03-04,6951
2024-03-05,6955
2024-03-06,6955
2024-03-07,6966
2024-03-08,6971
2024-03-09,6975
2024-03-10,6979
2024-03-11,6988
2024-03-12,6990
2024-03-13,6992
2024-03-14,6994
2024-03-15,6998
2024-03-16,7010
2024-03-17,7006
2024-03-18,7006
2024-03-19,7018
2024-03-20,7020
2024-03-21,7020
2024-03-22,7016
2024-03-23,7015
2024-03-24,7024
2024-03-25,7018
2024-03-26,7027
2024-03-27,7025
2024-03-28,7032
2024-03-29,7036
2024-03-30,7040
2024-03-31,7041
