date,num_adbit
2023-08-02,14519
2023-08-03,14535
2023-08-04,14529
2023-08-05,14538
2023-08-06,14538
2023-08-07,14538
2023-08-08,14551
2023-08-09,14567
2023-08-10,14568
2023-08-11,14583
2023-08-12,14582
2023-08-13,14585
2023-08-14,14590
2023-08-15,14602
2023-08-16,14611
2023-08-17,14625
2023-08-18,14624
2023-08-19,14635
2023-08-20,14629
2023-08-21,14638
2023-08-22,14636
2023-08-23,14639
2023-08-24,14648
2023-08-25,14651
2023-08-26,14568
2023-08-27,14564
2023-08-28,14569
2023-08-29,14570
2023-08-30,14584
2023-08-31,14582
2023-09-01,14586
2023-09-02,14586
2023-09-03,14590
2023-09-04,14591
2023-09-05,14598
2023-09-06,14609
2023-09-07,14618
2023-09-08,14627
2023-09-09,14610
2023-09-10,14611
2023-09-11,14609
2023-09-12,14606
2023-09-13,14625
2023-09-14,14622
2023-09-15,14624
2023-09-16,14632
2023-09-17,14634
2023-09-18,14636
2023-09-19,14637
2023-09-20,14626
2023-09-21,14646
2023-09-22,14646
2023-09-23,14639
2023-09-24,14642
2023-09-25,14645
2023-09-26,14642
2023-09-27,14642
2023-09-28,14649
2023-09-29,14661
2023-09-30,14666
2023-10-01,14661
2023-10-02,14665
2023-10-03,14661
2023-10-04,14666
2023-10-05,14649
2023-10-06,14652
2023-10-07,14649
2023-10-08,14662
2023-10-09,14663
2023-10-10,14701
2023-10-11,14711
2023-10-12,14723
2023-10-13,14733
2023-10-14,14736
2023-10-15,14737
2023-10-16,14745
2023-10-17,14735
2023-10-18,14732
2023-10-19,14738
2023-10-20,14755
2023-10-21,14752
2023-10-22,14750
2023-10-23,14762
2023-10-24,14768
2023-10-25,14766
2023-10-26,14762
2023-10-27,14773
2023-10-28,14778
2023-10-29,14777
2023-10-30,14775
2023-10-31,14756
2023-11-01,14456
2023-11-02,14462
2023-11-03,14454
2023-11-04,14452
2023-11-05,14455
2023-11-06,14453
2023-11-07,14529
2023-11-08,14533
2023-11-09,14511
2023-11-10,14516
2023-11-11,14503
2023-11-12,14504
2023-11-13,14507
2023-11-14,14511
2023-11-15,14507
2023-11-16,14522
2023-11-17,14520
2023-11-18,14519
2023-11-19,14521
2023-11-20,14528
2023-11-21,14523
2023-11-22,14531
2023-11-23,14550
2023-11-24,14542
2023-11-25,14545
2023-11-26,14545
2023-11-27,14544
2023-11-28,14546
2023-11-29,14560
2023-11-30,14558
2023-12-01,14557
2023-12-02,14557
2023-12-03,14557
2023-12-04,14566
2023-12-05,14554
2023-12-06,14555
2023-12-07,14565
2023-12-08,14573
2023-12-09,14568
2023-12-10,14567
2023-12-11,14565
2023-12-12,14573
2023-12-13,14572
2023-12-14,14584
2023-12-15,14580
2023-12-16,14589
2023-12-17,14596
2023-12-18,14602
2023-12-19,14593
2023-12-20,14608
2023-12-21,14616
2023-12-22,14619
2023-12-23,14624
2023-12-24,14622
2023-12-25,14628
2023-12-26,14630
2023-12-27,14625
2023-12-28,14645
2023-12-29,14650
2023-12-30,14645
2023-12-31,14642
2024-01-01,14643
2024-01-02,14640
2024-01-03,14643
2024-01-04,14643
2024-01-05,14657
2024-01-06,14652
2024-01-07,14655
2024-01-08,14660
2024-01-09,14660
2024-01-10,14675
2024-01-11,14674
2024-01-12,14685
2024-01-13,14674
2024-01-14,14678
2024-01-15,14681
2024-01-16,14676
2024-01-17,14692
2024-01-18,14695
2024-01-19,14694
2024-01-20,14695
2024-01-21,14704
2024-01-22,14710
2024-01-23,14714
2024-01-24,14734
2024-01-25,14735
2024-01-26,14686
2024-01-27,14687
2024-01-28,14694
2024-01-29,14696
2024-01-30,14703
2024-01-31,14715
2024-02-01,14709
2024-02-02,14721
2024-02-03,14717
2024-02-04,14721
2024-02-05,14725
2024-02-06,14734
2024-02-07,14739
2024-02-08,14743
2024-02-09,14755
2024-02-10,14752
2024-02-11,14752
2024-02-12,14761
2024-02-13,14770
2024-02-14,14777
2024-02-15,14770
2024-02-16,14779
2024-02-17,14780
2024-02-18,14788
2024-02-19,14790
2024-02-20,14787
2024-02-21,14793
2024-02-22,14802
2024-02-23,14810
2024-02-24,14806
2024-02-25,14804
2024-02-26,14812
2024-02-27,14804
2024-02-28,14819
2024-02-29,14825
2024-03-01,14828
2024-03-02,14827
2024-03-03,14819
2024-03-04,14827
2024-03-05,14827
2024-03-06,14827
2024-03-07,14847
2024-03-08,14855
2024-03-09,14854
2024-03-10,14854
2024-03-11,14857
2024-03-12,14851
2024-03-13,14855
2024-03-14,14870
2024-03-15,14865
2024-03-16,14879
2024-03-17,14880
2024-03-18,14882
2024-03-19,14894
2024-03-20,14897
2024-03-21,14886
2024-03-22,14897
2024-03-23,14890
2024-03-24,14895
2024-03-25,14884
2024-03-26,14888
2024-03-27,14889
2024-03-28,14923
2024-03-29,14923
2024-03-30,14925
2024-03-31,14911
