date,num_httpsrr
2023-05-08,137112
2023-05-09,137412
2023-05-10,137350
2023-05-11,137338
2023-05-12,137348
2023-05-13,137329
2023-05-14,137292
2023-05-15,137265
2023-05-16,137250
2023-05-17,137279
2023-05-18,137281
2023-05-19,137288
2023-05-20,137296
2023-05-21,137279
2023-05-22,137293
2023-05-23,137204
2023-05-24,137175
2023-05-25,137170
2023-05-26,137197
2023-05-27,137196
2023-05-28,137175
2023-05-29,137165
2023-05-30,137140
2023-05-31,137117
2023-06-01,137113
2023-06-02,137123
2023-06-03,137094
2023-06-04,137040
2023-06-05,137064
2023-06-06,137068
2023-06-07,137061
2023-06-08,137045
2023-06-09,137070
2023-06-10,136998
2023-06-11,136985
2023-06-12,137000
2023-06-13,137001
2023-06-14,136918
2023-06-15,136952
2023-06-16,136981
2023-06-17,136506
2023-06-18,136480
2023-06-19,136439
2023-06-20,136429
2023-06-21,136394
2023-06-22,136433
2023-06-23,136426
2023-06-24,136394
2023-06-25,136374
2023-06-26,136355
2023-06-27,136317
2023-06-28,136366
2023-06-29,136360
2023-06-30,136319
2023-07-01,136309
2023-07-02,136291
2023-07-03,136245
2023-07-04,136195
2023-07-05,136192
2023-07-06,136172
2023-07-07,136165
2023-07-08,136161
2023-07-09,136144
2023-07-10,136140
2023-07-11,136132
2023-07-12,136114
2023-07-13,136101
2023-07-14,136066
2023-07-15,136000
2023-07-16,136005
2023-07-17,135972
2023-07-18,135960
2023-07-19,135876
2023-07-20,135839
2023-07-21,135837
2023-07-22,135726
2023-07-23,135605
2023-07-24,135557
2023-07-25,135499
2023-07-26,135419
2023-07-27,135350
2023-07-28,135299
2023-07-29,135269
2023-07-30,135242
2023-07-31,135200
2023-08-01,134918
