date,num_httpsrr
2023-05-08,142284
2023-05-09,142537
2023-05-10,142488
2023-05-11,142471
2023-05-12,142496
2023-05-13,142483
2023-05-14,142441
2023-05-15,142427
2023-05-16,142420
2023-05-17,142459
2023-05-18,142454
2023-05-19,142443
2023-05-20,142456
2023-05-21,142440
2023-05-22,142459
2023-05-23,142452
2023-05-24,142403
2023-05-25,142418
2023-05-26,142429
2023-05-27,142439
2023-05-28,142430
2023-05-29,142424
2023-05-30,142393
2023-05-31,142370
2023-06-01,142368
2023-06-02,142403
2023-06-03,142377
2023-06-04,142331
2023-06-05,142351
2023-06-06,142367
2023-06-07,142375
2023-06-08,142386
2023-06-09,142421
2023-06-10,142353
2023-06-11,142343
2023-06-12,142341
2023-06-13,142349
2023-06-14,142265
2023-06-15,142324
2023-06-16,142368
2023-06-17,141878
2023-06-18,141882
2023-06-19,141844
2023-06-20,141821
2023-06-21,141764
2023-06-22,141775
2023-06-23,141732
2023-06-24,141710
2023-06-25,141697
2023-06-26,141678
2023-06-27,141793
2023-06-28,141845
2023-06-29,141852
2023-06-30,141834
2023-07-01,141829
2023-07-02,141826
2023-07-03,141777
2023-07-04,141726
2023-07-05,141717
2023-07-06,141603
2023-07-07,141601
2023-07-08,141603
2023-07-09,141587
2023-07-10,141596
2023-07-11,141577
2023-07-12,141570
2023-07-13,141552
2023-07-14,141520
2023-07-15,141503
2023-07-16,141509
2023-07-17,141563
2023-07-18,141552
2023-07-19,141489
2023-07-20,141466
2023-07-21,141494
2023-07-22,141362
2023-07-23,141257
2023-07-24,141203
2023-07-25,141150
2023-07-26,141061
2023-07-27,141006
2023-07-28,140988
2023-07-29,140971
2023-07-30,140955
2023-07-31,140918
2023-08-01,140663
