date,num_rrsig,num_httpsrr
2023-05-08,10744,137112
2023-05-09,10751,137412
2023-05-10,10776,137350
2023-05-11,10773,137338
2023-05-12,10782,137348
2023-05-13,10786,137329
2023-05-14,10785,137292
2023-05-15,10774,137265
2023-05-16,10777,137250
2023-05-17,10784,137279
2023-05-18,10796,137281
2023-05-19,10790,137288
2023-05-20,10793,137296
2023-05-21,10789,137279
2023-05-22,10800,137293
2023-05-23,10806,137204
2023-05-24,10807,137175
2023-05-25,10811,137170
2023-05-26,10817,137197
2023-05-27,10818,137196
2023-05-28,10819,137175
2023-05-29,10818,137165
2023-05-30,10820,137140
2023-05-31,10818,137117
2023-06-01,10838,137113
2023-06-02,10845,137123
2023-06-03,10843,137094
2023-06-04,10846,137040
2023-06-05,10855,137064
2023-06-06,10854,137068
2023-06-07,10859,137061
2023-06-08,10866,137045
2023-06-09,10870,137070
2023-06-10,10877,136998
2023-06-11,10873,136985
2023-06-12,10879,137000
2023-06-13,10880,137001
2023-06-14,10890,136918
2023-06-15,10894,136952
2023-06-16,10903,136981
2023-06-17,10906,136506
2023-06-18,10907,136480
2023-06-19,10912,136439
2023-06-20,10921,136429
2023-06-21,10928,136394
2023-06-22,10936,136433
2023-06-23,10941,136426
2023-06-24,10948,136394
2023-06-25,10949,136374
2023-06-26,10951,136355
2023-06-27,10955,136317
2023-06-28,10962,136366
2023-06-29,10965,136360
2023-06-30,10963,136319
2023-07-01,10965,136309
2023-07-02,10964,136291
2023-07-03,10963,136245
2023-07-04,10970,136195
2023-07-05,10970,136192
2023-07-06,10994,136172
2023-07-07,10993,136165
2023-07-08,11003,136161
2023-07-09,10999,136144
2023-07-10,11003,136140
2023-07-11,11003,136132
2023-07-12,11006,136114
2023-07-13,11014,136101
2023-07-14,11021,136066
2023-07-15,11020,136000
2023-07-16,11026,136005
2023-07-17,11051,135972
2023-07-18,11050,135960
2023-07-19,11052,135876
2023-07-20,11059,135839
2023-07-21,11068,135837
2023-07-22,11074,135726
2023-07-23,11074,135605
2023-07-24,11069,135557
2023-07-25,11077,135499
2023-07-26,11080,135419
2023-07-27,11083,135350
2023-07-28,11088,135299
2023-07-29,11090,135269
2023-07-30,11088,135242
2023-07-31,11086,135200
2023-08-01,11098,134918
