date,num_rrsig,num_httpsrr,rrsig_perc
2023-05-08,10744,137112,7.83592975086061
2023-05-09,10751,137412,7.823916397403429
2023-05-10,10776,137350,7.8456497997815795
2023-05-11,10773,137338,7.844150926910251
2023-05-12,10782,137348,7.850132510120279
2023-05-13,10786,137329,7.854131319677562
2023-05-14,10785,137292,7.855519622410628
2023-05-15,10774,137265,7.849051105525808
2023-05-16,10777,137250,7.852094717668488
2023-05-17,10784,137279,7.855535078198414
2023-05-18,10796,137281,7.864161828658008
2023-05-19,10790,137288,7.859390478410349
2023-05-20,10793,137296,7.8611175853630115
2023-05-21,10789,137279,7.859177295871911
2023-05-22,10800,137293,7.866387944032106
2023-05-23,10806,137204,7.875863677443807
2023-05-24,10807,137175,7.878257700018225
2023-05-25,10811,137170,7.8814609608514985
2023-05-26,10817,137197,7.884283184034636
2023-05-27,10818,137196,7.8850695355549725
2023-05-28,10819,137175,7.887005649717514
2023-05-29,10818,137165,7.88685160208508
2023-05-30,10820,137140,7.8897477030771475
2023-05-31,10818,137117,7.889612520694006
2023-06-01,10838,137113,7.904429193438988
2023-06-02,10845,137123,7.908957651159907
2023-06-03,10843,137094,7.909171809123667
2023-06-04,10846,137040,7.914477524810274
2023-06-05,10855,137064,7.919657969999417
2023-06-06,10854,137068,7.918697288936878
2023-06-07,10859,137061,7.922749724575189
2023-06-08,10866,137045,7.928782516691598
2023-06-09,10870,137070,7.9302546144305825
2023-06-10,10877,136998,7.939531963970277
2023-06-11,10873,136985,7.937365404971347
2023-06-12,10879,137000,7.940875912408759
2023-06-13,10880,137001,7.941547871913344
2023-06-14,10890,136918,7.953665697716882
2023-06-15,10894,136952,7.954611834803435
2023-06-16,10903,136981,7.959498032573861
2023-06-17,10906,136506,7.989392407659737
2023-06-18,10907,136480,7.991647127784291
2023-06-19,10912,136439,7.997713263802871
2023-06-20,10921,136429,8.004896319697425
2023-06-21,10928,136394,8.012082642931507
2023-06-22,10936,136433,8.015656036296203
2023-06-23,10941,136426,8.019732309090642
2023-06-24,10948,136394,8.026746044547414
2023-06-25,10949,136374,8.02865648877352
2023-06-26,10951,136355,8.031241978658649
2023-06-27,10955,136317,8.036415120637924
2023-06-28,10962,136366,8.038660663215172
2023-06-29,10965,136360,8.041214432384864
2023-06-30,10963,136319,8.04216580227261
2023-07-01,10965,136309,8.044223052036182
2023-07-02,10964,136291,8.044551731222164
2023-07-03,10963,136245,8.04653381775478
2023-07-04,10970,136195,8.054627556077683
2023-07-05,10970,136192,8.054804981203008
2023-07-06,10994,136172,8.073612783832212
2023-07-07,10993,136165,8.073293430764146
2023-07-08,11003,136161,8.080874846688847
2023-07-09,10999,136144,8.078945822070748
2023-07-10,11003,136140,8.08212134567357
2023-07-11,11003,136132,8.082596303587694
2023-07-12,11006,136114,8.08586919787825
2023-07-13,11014,136101,8.092519525940295
2023-07-14,11021,136066,8.09974571163994
2023-07-15,11020,136000,8.102941176470589
2023-07-16,11026,136005,8.107054887687953
2023-07-17,11051,135972,8.12740858412026
2023-07-18,11050,135960,8.127390408943807
2023-07-19,11052,135876,8.133886779122141
