date,num_rrsig,num_httpsrr
2023-08-02,20380,137219
2023-08-03,20397,137251
2023-08-04,20394,137261
2023-08-05,20408,137302
2023-08-06,20407,137307
2023-08-07,20407,137298
2023-08-08,20420,137335
2023-08-09,20448,137364
2023-08-10,20450,137331
2023-08-11,20468,137354
2023-08-12,20472,137371
2023-08-13,20474,137359
2023-08-14,20487,137370
2023-08-15,20494,137357
2023-08-16,20506,137059
2023-08-17,20520,137061
2023-08-18,20525,137014
2023-08-19,20541,137013
2023-08-20,20537,136992
2023-08-21,20546,137014
2023-08-22,20552,137080
2023-08-23,20558,137104
2023-08-24,20572,137116
2023-08-25,20580,137158
2023-08-26,20582,137169
2023-08-27,20580,137179
2023-08-28,20586,137184
2023-08-29,20585,137199
2023-08-30,20600,137234
2023-08-31,20597,137250
2023-09-01,20601,137279
2023-09-02,20620,137293
2023-09-03,20621,137273
2023-09-04,20624,137281
2023-09-05,20635,137285
2023-09-06,20647,137321
2023-09-07,20656,137357
2023-09-08,20674,137297
2023-09-09,20623,136686
2023-09-10,20622,136688
2023-09-11,20625,136719
2023-09-12,20626,136732
2023-09-13,20647,136479
2023-09-14,20643,136496
2023-09-15,20651,136539
2023-09-16,20656,136537
2023-09-17,20664,136551
2023-09-18,20667,136551
2023-09-19,20668,136530
2023-09-20,20661,136554
2023-09-21,20681,136643
2023-09-22,20681,136643
2023-09-23,20677,136657
2023-09-24,20680,136662
2023-09-25,20687,136678
2023-09-26,20681,136676
2023-09-27,20700,136683
2023-09-28,20709,136722
2023-09-29,20729,136748
2023-09-30,20736,136756
2023-10-01,20735,136758
2023-10-02,20741,136800
2023-10-03,20733,136812
2023-10-04,20749,136904
2023-10-05,20749,136922
2023-10-06,20747,136939
2023-10-07,20750,136918
2023-10-08,20769,136965
2023-10-09,20773,136953
2023-10-10,20794,136987
2023-10-11,20802,137015
2023-10-12,20822,137046
2023-10-13,20841,137073
2023-10-14,20839,137092
2023-10-15,20846,137109
2023-10-16,20855,137120
2023-10-17,20847,137148
2023-10-18,20846,137170
2023-10-19,20857,137211
2023-10-20,20879,137253
2023-10-21,20882,136740
2023-10-22,20880,136241
2023-10-23,20898,136269
2023-10-24,20911,135500
2023-10-25,20916,135522
2023-10-26,20920,135558
2023-10-27,20926,135608
2023-10-28,20936,135642
2023-10-29,20941,135662
2023-10-30,20930,135652
2023-10-31,20909,135685
2023-11-01,20611,135402
2023-11-02,20620,135421
2023-11-03,20608,135362
2023-11-04,20612,135327
2023-11-05,20612,135347
2023-11-06,20613,135302
2023-11-07,20714,135479
2023-11-08,20722,135512
2023-11-09,20708,135533
2023-11-10,20720,135584
2023-11-11,20709,135562
2023-11-12,20709,135562
2023-11-13,20715,135585
2023-11-14,20716,135671
2023-11-15,20709,135710
2023-11-16,20726,135740
2023-11-17,20735,135758
2023-11-18,20738,135765
2023-11-19,20749,135791
2023-11-20,20758,135794
2023-11-21,20754,135824
2023-11-22,20769,135848
2023-11-23,20793,135912
2023-11-24,20796,135932
2023-11-25,20799,135928
2023-11-26,20802,135935
2023-11-27,20805,135933
2023-11-28,20815,135968
2023-11-29,20833,135987
2023-11-30,20836,135985
2023-12-01,20844,135966
2023-12-02,20842,135991
2023-12-03,20842,135954
2023-12-04,20848,135944
2023-12-05,20838,135988
2023-12-06,20845,136000
2023-12-07,20861,135942
2023-12-08,20866,135945
2023-12-09,20871,135892
2023-12-10,20864,135909
2023-12-11,20867,135936
2023-12-12,20880,135948
2023-12-13,20874,135960
2023-12-14,20881,136003
2023-12-15,20883,136016
2023-12-16,20894,136053
2023-12-17,20909,136062
2023-12-18,20910,136084
2023-12-19,20901,136087
2023-12-20,20927,136071
2023-12-21,20941,136124
2023-12-22,20951,136132
2023-12-23,20969,136186
2023-12-24,20966,136187
2023-12-25,20974,136179
2023-12-26,20971,136189
2023-12-27,20961,136183
2023-12-28,20980,136207
2023-12-29,20991,136226
2023-12-30,20989,136246
2023-12-31,20985,136242
2024-01-01,20992,136215
2024-01-02,20990,136230
2024-01-03,20999,136252
2024-01-04,20999,136252
2024-01-05,21036,136338
2024-01-06,21037,136342
2024-01-07,21043,136333
2024-01-08,21052,136356
2024-01-09,21059,136367
2024-01-10,21080,136408
2024-01-11,21074,136441
2024-01-12,21093,136472
2024-01-13,21087,136485
2024-01-14,21094,136501
2024-01-15,21106,136480
2024-01-16,21101,136496
2024-01-17,21119,136548
2024-01-18,21126,136593
2024-01-19,21127,136618
2024-01-20,21130,136586
2024-01-21,21140,136596
2024-01-22,21141,136603
2024-01-23,21154,136646
2024-01-24,21177,136654
2024-01-25,21188,136667
2024-01-26,21144,136644
2024-01-27,21147,136689
2024-01-28,21157,136675
2024-01-29,21171,136682
2024-01-30,21178,136704
2024-01-31,21204,136703
2024-02-01,21193,136697
2024-02-02,21217,136719
2024-02-03,21211,136709
2024-02-04,21213,136707
2024-02-05,21219,136710
2024-02-06,21236,136742
2024-02-07,21239,136746
2024-02-08,21257,136786
2024-02-09,21278,136778
2024-02-10,21276,136745
2024-02-11,21274,136701
2024-02-12,21280,136698
2024-02-13,21289,136729
2024-02-14,21293,136672
2024-02-15,21290,136548
2024-02-16,21317,136479
2024-02-17,21325,136425
2024-02-18,21335,136377
2024-02-19,21333,136339
2024-02-20,21338,136236
2024-02-21,21328,136126
2024-02-22,21338,136143
2024-02-23,21359,136051
2024-02-24,21357,135860
2024-02-25,21361,135870
2024-02-26,21368,135866
2024-02-27,21365,135848
2024-02-28,21392,135788
2024-02-29,21404,135794
2024-03-01,21409,135541
2024-03-02,21408,135491
2024-03-03,21404,135399
2024-03-04,21421,135316
2024-03-05,21417,135299
2024-03-06,21417,135299
2024-03-07,21443,135257
2024-03-08,21456,135195
2024-03-09,21460,135140
2024-03-10,21460,135110
2024-03-11,21467,135032
2024-03-12,21455,135012
2024-03-13,21464,135018
2024-03-14,21474,134886
