date,num_adbit
2023-05-08,7608
2023-05-09,7611
2023-05-10,7620
2023-05-11,7620
2023-05-12,7630
2023-05-13,7632
2023-05-14,7619
2023-05-15,7621
2023-05-16,7619
2023-05-17,7624
2023-05-18,7646
2023-05-19,7647
2023-05-20,7646
2023-05-21,7646
2023-05-22,7645
2023-05-23,7652
2023-05-24,7656
2023-05-25,7659
2023-05-26,7676
2023-05-27,7669
2023-05-28,7684
2023-05-29,7691
2023-05-30,7693
2023-05-31,7686
2023-06-01,7704
2023-06-02,7701
2023-06-03,7698
2023-06-04,7698
2023-06-05,7707
2023-06-06,7707
2023-06-07,7709
2023-06-08,7715
2023-06-09,7717
2023-06-10,7737
2023-06-11,7740
2023-06-12,7735
2023-06-13,7723
2023-06-14,7732
2023-06-15,7734
2023-06-16,7738
2023-06-17,7747
2023-06-18,7748
2023-06-19,7748
2023-06-20,7744
2023-06-21,7751
2023-06-22,7753
2023-06-23,7763
2023-06-24,7763
2023-06-25,7770
2023-06-26,7772
2023-06-27,7775
2023-06-28,7773
2023-06-29,7763
2023-06-30,7752
2023-07-01,7745
2023-07-02,7743
2023-07-03,7735
2023-07-04,7747
2023-07-05,7748
2023-07-06,7766
2023-07-07,7759
2023-07-08,7758
2023-07-09,7767
2023-07-10,7761
2023-07-11,7752
2023-07-12,7751
2023-07-13,7757
2023-07-14,7741
2023-07-15,7738
2023-07-16,7732
2023-07-17,7737
2023-07-18,7731
2023-07-19,7737
2023-07-20,7740
2023-07-21,7742
2023-07-22,7743
2023-07-23,7734
2023-07-24,7726
2023-07-25,7727
2023-07-26,7736
2023-07-27,7732
2023-07-28,7734
2023-07-29,7729
2023-07-30,7726
2023-07-31,7720
2023-08-01,7723
2023-08-02,8481
2023-08-03,8495
2023-08-04,8493
2023-08-05,8472
2023-08-06,8468
2023-08-07,8460
2023-08-08,8472
2023-08-09,8473
2023-08-10,8485
2023-08-11,8476
2023-08-12,8480
2023-08-13,8479
2023-08-14,8507
2023-08-15,8530
2023-08-16,8540
2023-08-17,8542
2023-08-18,8565
2023-08-19,8586
2023-08-20,8601
2023-08-21,8613
2023-08-22,8626
2023-08-23,8624
2023-08-24,8624
2023-08-25,8632
2023-08-26,8625
2023-08-27,8615
2023-08-28,8570
2023-08-29,8589
2023-08-30,8590
2023-08-31,8585
2023-09-01,8556
2023-09-02,8499
2023-09-03,8485
2023-09-04,8462
2023-09-05,8438
2023-09-06,8451
2023-09-07,8471
2023-09-08,8477
2023-09-09,8449
2023-09-10,8436
2023-09-11,8441
2023-09-12,8446
2023-09-13,8461
2023-09-14,8465
2023-09-15,8471
2023-09-16,8490
2023-09-17,8492
2023-09-18,8537
2023-09-19,8556
2023-09-20,8554
2023-09-21,8553
2023-09-22,8553
2023-09-23,8600
2023-09-24,8606
2023-09-25,8596
2023-09-26,8606
2023-09-27,8593
2023-09-28,8582
2023-09-29,8599
2023-09-30,8606
2023-10-01,8601
2023-10-02,8594
2023-10-03,8581
2023-10-04,8575
2023-10-05,8510
2023-10-06,8518
2023-10-07,8452
2023-10-08,8446
2023-10-09,8453
2023-10-10,8500
2023-10-11,8500
2023-10-12,8500
2023-10-13,8489
2023-10-14,8480
2023-10-15,8485
2023-10-16,8544
2023-10-17,8547
2023-10-18,8545
2023-10-19,8551
2023-10-20,8569
2023-10-21,8570
2023-10-22,8571
2023-10-23,8565
2023-10-24,8573
2023-10-25,8566
2023-10-26,8558
2023-10-27,8559
2023-10-28,8567
2023-10-29,8576
2023-10-30,8533
2023-10-31,8513
2023-11-01,8514
2023-11-02,8521
2023-11-03,8497
2023-11-04,8383
2023-11-05,8394
2023-11-06,8382
2023-11-07,8395
2023-11-08,8440
2023-11-09,8435
2023-11-10,8443
2023-11-11,8439
2023-11-12,8429
2023-11-13,8442
2023-11-14,8452
2023-11-15,8438
2023-11-16,8444
2023-11-17,8455
2023-11-18,8456
2023-11-19,8507
2023-11-20,8563
2023-11-21,8572
2023-11-22,8571
2023-11-23,8605
2023-11-24,8648
2023-11-25,8656
2023-11-26,8660
2023-11-27,8651
2023-11-28,8647
2023-11-29,8647
2023-11-30,8636
2023-12-01,8630
2023-12-02,8623
2023-12-03,8613
2023-12-04,8618
2023-12-05,8566
2023-12-06,8558
2023-12-07,8574
2023-12-08,8586
2023-12-09,8538
2023-12-10,8486
2023-12-11,8496
2023-12-12,8497
2023-12-13,8500
2023-12-14,8508
2023-12-15,8512
2023-12-16,8512
2023-12-17,8568
2023-12-18,8596
2023-12-19,8589
2023-12-20,8590
2023-12-21,8606
2023-12-22,8632
2023-12-23,8634
2023-12-24,8629
2023-12-25,8628
2023-12-26,8622
2023-12-27,8611
2023-12-28,8617
2023-12-29,8621
2023-12-30,8614
2023-12-31,8608
2024-01-01,8590
2024-01-02,8578
2024-01-03,8565
2024-01-04,8565
2024-01-05,8567
2024-01-06,8564
2024-01-07,8477
2024-01-08,8478
2024-01-09,8494
2024-01-10,8492
2024-01-11,8521
2024-01-12,8541
2024-01-13,8519
2024-01-14,8603
2024-01-15,8603
2024-01-16,8607
2024-01-17,8623
2024-01-18,8656
2024-01-19,8672
2024-01-20,8684
2024-01-21,8692
2024-01-22,8687
2024-01-23,8703
2024-01-24,8697
2024-01-25,8706
2024-01-26,8700
2024-01-27,8701
2024-01-28,8700
2024-01-29,8698
2024-01-30,8705
2024-01-31,8682
2024-02-01,8693
2024-02-02,8709
2024-02-03,8722
2024-02-04,8656
2024-02-05,8669
2024-02-06,8676
2024-02-07,8687
2024-02-08,8708
2024-02-09,8719
2024-02-10,8733
2024-02-11,8737
2024-02-12,8734
2024-02-13,8739
2024-02-14,8760
2024-02-15,8768
2024-02-16,8760
2024-02-17,8775
2024-02-18,8855
2024-02-19,8861
2024-02-20,8877
2024-02-21,8893
2024-02-22,8919
2024-02-23,8930
2024-02-24,8934
2024-02-25,8954
2024-02-26,8954
2024-02-27,8962
2024-02-28,8976
2024-02-29,9005
2024-03-01,9024
2024-03-02,9035
2024-03-03,9036
2024-03-04,9008
2024-03-05,8995
2024-03-06,8995
2024-03-07,8994
2024-03-08,8998
2024-03-09,8958
2024-03-10,8950
2024-03-11,8963
2024-03-12,8951
2024-03-13,8951
2024-03-14,8951
2024-03-15,8954
2024-03-16,8964
2024-03-17,8955
2024-03-18,8967
2024-03-19,8970
2024-03-20,8973
2024-03-21,8966
2024-03-22,8984
2024-03-23,8982
2024-03-24,8984
2024-03-25,8968
2024-03-26,8977
2024-03-27,8934
2024-03-28,8965
2024-03-29,8955
2024-03-30,8951
2024-03-31,8955
2024-04-01,8913
2024-04-02,8901
2024-04-03,8899
2024-04-04,8888
2024-04-05,8910
2024-04-06,8920
2024-04-07,8836
2024-04-08,8836
2024-04-09,8826
2024-04-10,8809
2024-04-11,8799
2024-04-12,8806
2024-04-13,8886
2024-04-14,8883
2024-04-15,8858
2024-04-16,8858
2024-04-17,8858
2024-04-18,8858
2024-04-19,8858
2024-04-20,8858
2024-04-21,8858
2024-04-22,8653
2024-04-23,8637
2024-04-24,8620
2024-04-25,8603
2024-04-26,8592
2024-04-27,8582
2024-04-28,8565
2024-04-29,8549
2024-04-30,8494
2024-05-01,8929
2024-05-02,8955
2024-05-03,8968
2024-05-04,8929
2024-05-05,8863
2024-05-06,8872
2024-05-07,8869
2024-05-08,8875
2024-05-09,8883
2024-05-10,8903
2024-05-11,8922
2024-05-12,8907
2024-05-13,8909
2024-05-14,8912
2024-05-15,8916
2024-05-16,8912
2024-05-17,8920
2024-05-18,9001
2024-05-19,9049
2024-05-20,9059
2024-05-21,9047
2024-05-22,9066
2024-05-23,9065
2024-05-24,9072
2024-05-25,9065
2024-05-26,9073
2024-05-27,9090
2024-05-28,9072
2024-05-29,9078
2024-05-30,9069
2024-05-31,9084
2024-06-01,9095
2024-06-02,9108
2024-06-03,9105
2024-06-04,9102
2024-06-05,9093
2024-06-06,9072
2024-06-07,9089
2024-06-08,9094
2024-06-09,9002
2024-06-10,8976
2024-06-11,9004
2024-06-12,9008
2024-06-13,9021
2024-06-14,9019
2024-06-15,9028
2024-06-16,9137
2024-06-17,9139
2024-06-18,9140
2024-06-19,9164
2024-06-20,9204
2024-06-21,9207
2024-06-22,9220
2024-06-23,9237
2024-06-24,9237
2024-06-25,9250
2024-06-26,9258
2024-06-27,9265
2024-06-28,9276
2024-06-29,9288
2024-06-30,9281
2024-07-01,9278
2024-07-02,9264
2024-07-03,9265
2024-07-04,9273
2024-07-05,9253
2024-07-06,9204
2024-07-07,9163
2024-07-08,9173
2024-07-09,9187
2024-07-10,9211
2024-07-11,9211
2024-07-12,9225
2024-07-13,9234
2024-07-14,9255
2024-07-15,9356
2024-07-16,9379
2024-07-17,9383
2024-07-18,9402
2024-07-19,9407
2024-07-20,9451
2024-07-21,9445
2024-07-22,9450
2024-07-23,9462
2024-07-24,9479
2024-07-25,9496
2024-07-26,9509
2024-07-27,9539
2024-07-28,9483
2024-07-29,9491
2024-07-30,9487
2024-07-31,9497
2024-08-01,9495
2024-08-02,9511
2024-08-03,9435
2024-08-04,9432
2024-08-05,9424
2024-08-06,9443
2024-08-07,9448
2024-08-08,9463
2024-08-09,9461
2024-08-10,9476
2024-08-11,9478
2024-08-12,9494
2024-08-13,9502
2024-08-14,9508
2024-08-15,9520
2024-08-16,9522
2024-08-17,9534
2024-08-18,9553
2024-08-19,9645
2024-08-20,9715
2024-08-21,9725
2024-08-22,9750
2024-08-23,9779
2024-08-24,9793
2024-08-25,9863
2024-08-26,9884
2024-08-27,9893
2024-08-28,9916
2024-08-29,9902
2024-08-30,9906
2024-08-31,9911
2024-09-01,9881
2024-09-02,9888
2024-09-03,9872
2024-09-04,9762
2024-09-05,9771
2024-09-06,9719
2024-09-07,9668
2024-09-08,9668
2024-09-09,9665
2024-09-10,9684
2024-09-11,9692
2024-09-12,9718
2024-09-13,9730
2024-09-14,9752
2024-09-15,9758
2024-09-16,9830
2024-09-17,9917
2024-09-18,9921
2024-09-19,9929
2024-09-20,9945
2024-09-21,9958
2024-09-22,9986
2024-09-23,10000
2024-09-24,10014
2024-09-25,10014
2024-09-26,10016
2024-09-27,10014
2024-09-28,10019
2024-09-29,10004
2024-09-30,10000
