date,num_rrsig,num_httpsrr
2023-05-08,25639,205708
2023-05-09,25632,205907
2023-05-10,25646,205684
2023-05-11,25652,205690
2023-05-12,25670,205775
2023-05-13,25652,205764
2023-05-14,25639,205710
2023-05-15,25629,205829
2023-05-16,25599,206329
2023-05-17,25620,206334
2023-05-18,25700,206485
2023-05-19,25707,206589
2023-05-20,25712,206793
2023-05-21,25705,206772
2023-05-22,25704,206881
2023-05-23,25732,206943
2023-05-24,25703,206730
2023-05-25,25706,206789
2023-05-26,25719,206882
2023-05-27,25732,206955
2023-05-28,25747,206963
2023-05-29,25765,207048
2023-05-30,25752,207267
2023-05-31,25762,207267
2023-06-01,25783,207322
2023-06-02,25798,207343
2023-06-03,25791,207263
2023-06-04,25792,207000
2023-06-05,25788,207012
2023-06-06,25774,207041
2023-06-07,25786,206947
2023-06-08,25829,206993
2023-06-09,25828,207115
2023-06-10,25927,207490
2023-06-11,25936,207578
2023-06-12,25940,207685
2023-06-13,25863,207437
2023-06-14,25878,207228
2023-06-15,25888,207316
2023-06-16,25878,207383
2023-06-17,25860,207087
2023-06-18,25872,207029
2023-06-19,25865,206958
2023-06-20,25854,206948
2023-06-21,25876,206857
2023-06-22,25890,207011
2023-06-23,25861,207115
2023-06-24,25926,207562
2023-06-25,25905,207530
2023-06-26,25897,207480
2023-06-27,25805,207681
2023-06-28,25805,207766
2023-06-29,25788,207679
2023-06-30,25759,207691
2023-07-01,25744,207676
2023-07-02,25728,207711
2023-07-03,25713,207754
2023-07-04,25708,207777
2023-07-05,25714,207819
2023-07-06,25726,207569
2023-07-07,25715,207694
2023-07-08,25703,207750
2023-07-09,25700,207865
2023-07-10,25669,208003
2023-07-11,25638,208107
2023-07-12,25616,208217
2023-07-13,25606,208245
2023-07-14,25592,208147
2023-07-15,25579,208195
2023-07-16,25565,208091
2023-07-17,25609,208135
2023-07-18,25595,208296
2023-07-19,25568,208306
2023-07-20,25567,208358
2023-07-21,25581,208475
2023-07-22,25577,208412
2023-07-23,25552,208225
2023-07-24,25524,208302
2023-07-25,25514,208361
2023-07-26,25526,208490
2023-07-27,25500,208444
2023-07-28,25492,208771
2023-07-29,25478,208862
2023-07-30,25485,209005
2023-07-31,25470,209105
2023-08-01,25459,208923
2023-08-02,27616,239752
2023-08-03,27636,239724
2023-08-04,27607,240318
2023-08-05,27541,242642
2023-08-06,27526,242528
2023-08-07,27519,242392
2023-08-08,27516,241957
2023-08-09,27564,242176
2023-08-10,27581,241953
2023-08-11,27583,242499
2023-08-12,27597,242622
2023-08-13,27583,242780
2023-08-14,27648,241183
2023-08-15,27702,240763
2023-08-16,27723,240500
2023-08-17,27740,240465
2023-08-18,27755,240573
2023-08-19,27768,240063
2023-08-20,27747,239789
2023-08-21,27754,239963
2023-08-22,27742,240044
2023-08-23,27740,240061
2023-08-24,27773,240109
2023-08-25,27803,240292
2023-08-26,27751,240267
2023-08-27,27744,240397
2023-08-28,27729,241074
2023-08-29,27719,241030
2023-08-30,27711,241466
2023-08-31,27688,241236
2023-09-01,27615,242473
2023-09-02,27459,246128
2023-09-03,27400,248571
2023-09-04,27312,251072
2023-09-05,27257,252385
2023-09-06,27224,252922
2023-09-07,27235,252935
2023-09-08,27250,252807
2023-09-09,27148,251988
2023-09-10,27121,252438
2023-09-11,27113,252622
2023-09-12,27096,252836
2023-09-13,27123,252841
2023-09-14,27114,253168
2023-09-15,27123,253442
2023-09-16,27134,253542
2023-09-17,27114,253660
2023-09-18,27287,250268
2023-09-19,27246,251258
2023-09-20,27220,251678
2023-09-21,27264,251989
2023-09-22,27264,251989
