date,num_adbit
2023-05-08,5720
2023-05-09,5726
2023-05-10,5737
2023-05-11,5741
2023-05-12,5751
2023-05-13,5749
2023-05-14,5751
2023-05-15,5747
2023-05-16,5748
2023-05-17,5751
2023-05-18,5758
2023-05-19,5753
2023-05-20,5754
2023-05-21,5751
2023-05-22,5755
2023-05-23,5760
2023-05-24,5760
2023-05-25,5759
2023-05-26,5765
2023-05-27,5760
2023-05-28,5760
2023-05-29,5759
2023-05-30,5761
2023-05-31,5755
2023-06-01,5772
2023-06-02,5773
2023-06-03,5773
2023-06-04,5771
2023-06-05,5779
2023-06-06,5780
2023-06-07,5778
2023-06-08,5777
2023-06-09,5783
2023-06-10,5785
2023-06-11,5779
2023-06-12,5783
2023-06-13,5786
2023-06-14,5791
2023-06-15,5793
2023-06-16,5797
2023-06-17,5805
2023-06-18,5806
2023-06-19,5808
2023-06-20,5807
2023-06-21,5812
2023-06-22,5814
2023-06-23,5817
2023-06-24,5817
2023-06-25,5820
2023-06-26,5821
2023-06-27,5825
2023-06-28,5833
2023-06-29,5832
2023-06-30,5828
2023-07-01,5830
2023-07-02,5830
2023-07-03,5828
2023-07-04,5832
2023-07-05,5831
2023-07-06,5843
2023-07-07,5840
2023-07-08,5848
2023-07-09,5846
2023-07-10,5848
2023-07-11,5849
2023-07-12,5856
2023-07-13,5866
2023-07-14,5865
2023-07-15,5868
2023-07-16,5869
2023-07-17,5879
2023-07-18,5877
2023-07-19,5881
2023-07-20,5886
2023-07-21,5888
2023-07-22,5889
2023-07-23,5894
2023-07-24,5892
2023-07-25,5897
2023-07-26,5897
2023-07-27,5894
2023-07-28,5900
2023-07-29,5897
2023-07-30,5898
2023-07-31,5898
2023-08-01,5902
