date,num_adbit
2023-05-08,13668
2023-05-09,13675
2023-05-10,13686
2023-05-11,13691
2023-05-12,13709
2023-05-13,13705
2023-05-14,13705
2023-05-15,13696
2023-05-16,13707
2023-05-17,13716
2023-05-18,13727
2023-05-19,13718
2023-05-20,13720
2023-05-21,13716
2023-05-22,13721
2023-05-23,13735
2023-05-24,13706
2023-05-25,13697
2023-05-26,13688
2023-05-27,13702
2023-05-28,13701
2023-05-29,13699
2023-05-30,13697
2023-05-31,13696
2023-06-01,13712
2023-06-02,13723
2023-06-03,13720
2023-06-04,13722
2023-06-05,13719
2023-06-06,13720
2023-06-07,13722
2023-06-08,13736
2023-06-09,13746
2023-06-10,13742
2023-06-11,13746
2023-06-12,13747
2023-06-13,13751
2023-06-14,13755
2023-06-15,13764
2023-06-16,13767
2023-06-17,13761
2023-06-18,13783
2023-06-19,13779
2023-06-20,13780
2023-06-21,13787
2023-06-22,13793
2023-06-23,13784
2023-06-24,13783
2023-06-25,13785
2023-06-26,13784
2023-06-27,13792
2023-06-28,13801
2023-06-29,13794
2023-06-30,13784
2023-07-01,13783
2023-07-02,13793
2023-07-03,13786
2023-07-04,13789
2023-07-05,13789
2023-07-06,13799
2023-07-07,13794
2023-07-08,13795
2023-07-09,13793
2023-07-10,13793
2023-07-11,13794
2023-07-12,13802
2023-07-13,13814
2023-07-14,13816
2023-07-15,13815
2023-07-16,13820
2023-07-17,13834
2023-07-18,13832
2023-07-19,13834
2023-07-20,13842
2023-07-21,13855
2023-07-22,13843
2023-07-23,13851
2023-07-24,13847
2023-07-25,13856
2023-07-26,13853
2023-07-27,13844
2023-07-28,13832
2023-07-29,13837
2023-07-30,13848
2023-07-31,13849
2023-08-01,13847
