date,num_rrsig,num_httpsrr
2023-08-02,12143,129021
2023-08-03,12157,129056
2023-08-04,12160,129076
2023-08-05,12168,129108
2023-08-06,12168,129104
2023-08-07,12170,129101
2023-08-08,12180,129127
2023-08-09,12190,129130
2023-08-10,12199,129111
2023-08-11,12206,129118
2023-08-12,12213,129127
2023-08-13,12216,129120
2023-08-14,12226,129108
2023-08-15,12226,129096
2023-08-16,12235,128790
2023-08-17,12242,128778
2023-08-18,12251,128730
2023-08-19,12261,128718
2023-08-20,12260,128703
2023-08-21,12265,128709
2023-08-22,12272,128763
2023-08-23,12283,128801
2023-08-24,12287,128804
2023-08-25,12299,128829
2023-08-26,12301,128866
2023-08-27,12308,128882
2023-08-28,12308,128887
2023-08-29,12311,128899
2023-08-30,12316,128928
2023-08-31,12318,128956
2023-09-01,12314,128973
2023-09-02,12341,128998
2023-09-03,12339,128988
2023-09-04,12343,128996
2023-09-05,12355,128985
2023-09-06,12361,129004
2023-09-07,12369,129035
2023-09-08,12379,128977
2023-09-09,12328,128289
2023-09-10,12332,128291
2023-09-11,12337,128314
2023-09-12,12343,128310
2023-09-13,12357,128042
2023-09-14,12363,128070
2023-09-15,12369,128098
2023-09-16,12376,128101
2023-09-17,12381,128110
2023-09-18,12386,128110
2023-09-19,12394,128095
2023-09-20,12401,128102
2023-09-21,12403,128154
2023-09-22,12403,128154
2023-09-23,12407,128157
2023-09-24,12403,128156
2023-09-25,12410,128166
2023-09-26,12413,128157
2023-09-27,12432,128181
2023-09-28,12439,128197
2023-09-29,12450,128228
2023-09-30,12459,128236
2023-10-01,12463,128234
2023-10-02,12467,128259
2023-10-03,12470,128284
2023-10-04,12476,128363
2023-10-05,12479,128379
2023-10-06,12481,128394
2023-10-07,12481,128374
2023-10-08,12486,128403
2023-10-09,12488,128398
2023-10-10,12502,128403
2023-10-11,12511,128423
2023-10-12,12529,128434
2023-10-13,12537,128446
2023-10-14,12537,128462
2023-10-15,12542,128472
2023-10-16,12545,128462
2023-10-17,12546,128493
2023-10-18,12552,128527
2023-10-19,12554,128542
2023-10-20,12562,128570
2023-10-21,12571,127262
2023-10-22,12573,126727
2023-10-23,12578,126750
2023-10-24,12587,126793
2023-10-25,12599,126825
